,county,price,house_type,house_address
242,cavan,185000, Detached House,"52 Annalee Manor, Ballyhaise, Co. Cavan"
243,cavan,150000, Semi-Detached House,"No. 8 Fern Drive, Rocklands, Cavan, Co. Cavan"
244,cavan,145000, Detached House,"Raclaghy, Mountnugent, Co. Cavan"
245,cavan,200000, Detached House,"21 Bellamont View, Cootehill, Co. Cavan"
246,cavan,215000, Semi-Detached House,"9 Sliabh Rosann, Mullagh, Co. Cavan"
247,cavan,149000, Detached House,"Kildoragh Glebe, Ballyjamesduff, Co. Cavan"
248,cavan,335000, Detached House,"Strageliffe, Cavan, Co. Cavan"
249,cavan,250000, Detached House,"Virginia Lodge, Bruise, Virginia, Co. Cavan"
250,cavan,185000, Detached House,"41 Kilmore Willows, Ballyjamesduff, Co. Cavan"
251,cavan,199995, Detached House,"Rahardrum, Virginia, Co. Cavan"
252,cavan,110000, Detached House,"Marahill, Crossdoney, Co. Cavan"
253,cavan,299950, Detached House,"40 River Crescent, Virginia, Co. Cavan"
254,cavan,480000, Detached House,"Drumheel House, Drumheel, Virginia, Co. Cavan"
255,cavan,157500, Semi-Detached House,"25 Oaklands Park, Ballyjamesduff, Co. Cavan"
256,cavan,230000, Detached House,"Curkish, Bailieborough, Co. Cavan"
257,cavan,95000, Detached House,"cordough, Kingscourt, Co. Cavan"
258,cavan,229500, Detached House,"No. 3 Ashleaf Place, Rocklands, Cavan, Co. Cavan"
259,cavan,120000, Terraced House,"Anne Street, Bailieborough, Co. Cavan"
260,cavan,169500, Semi-Detached House,"No. 33 Loreto Wood, Carrickane, Cavan, Co. Cavan"
261,cavan,175000, Semi-Detached House,"35 Rathdrum, Drumalee, Cavan, Co. Cavan"
262,cavan,290000, Detached House,"Tirgormley, Belturbet, Co. Cavan"
263,cavan,299995, Detached House,"Curraghmore, Virginia, Co. Cavan"
264,cavan,319500, Detached House,"Lough an Lea, Bailieborough, Co. Cavan"
265,cavan,245000, Detached House,"10 Sli Na Coille, Belturbet, Co. Cavan"
